fs_label,nn_label
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Maintain,Maintain
Increase,Increase
Maintain,Maintain
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Maintain,Maintain
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Maintain,Maintain
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Maintain,Maintain
Maintain,Maintain
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Maintain,Maintain
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Maintain,Maintain
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Maintain,Maintain
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Maintain,Maintain
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Maintain,Maintain
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Maintain,Maintain
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Maintain,Maintain
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Maintain,Maintain
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Maintain,Maintain
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Maintain,Maintain
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Maintain,Maintain
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Maintain,Maintain
Maintain,Maintain
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Maintain,Maintain
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Maintain,Maintain
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Increase,Increase
Maintain,Maintain
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Maintain,Maintain
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Maintain,Maintain
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Maintain,Maintain
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Maintain,Maintain
Increase,Increase
Increase,Increase
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
Decrease,Decrease
Increase,Increase
Decrease,Decrease
Decrease,Decrease
